code,title,description
40.0504,Organic Chemistry.,"A course that focuses on the scientific study of the properties and behavior of hydrocarbon compounds and their derivatives. Includes instruction in molecular conversion and synthesis, molecular synthesis and design, the molecular structure of living cells and systems, the mutual reactivity of organic and inorganic compounds in combination, the spectroscopic analysis of hydrocarbon compounds, and applications to specific problems in research, industry, and health."
40.0506,Physical Chemistry.,"A course that focuses on the scientific study of understanding and predicting the behavior of chemical systems ranging from nuclear particles to atoms, molecules, clusters, biological materials and macroscopic assemblies. Includes instruction in quantum mechanics, spectroscopy, thermodynamics, statistical mechanics, reaction dynamics, group theory, collision theory and polymer science. Also structure and bonding."
40.0507,Polymer Chemistry.,"A course that focuses on the scientific study of synthesized macromolecule and their interactions with other substances. Includes instruction in molecular bonding theory, polymerization, properties and behavior of unstable compounds, the development of tailored polymers, transition phenomena, and applications to specific industrial problems and technologies."
40.0508,Chemical Physics.,"A course that focuses on the scientific study of structural phenomena combining the disciplines of physical chemistry and atomic/molecular physics. Includes instruction in heterogeneous structures, alignment and surface phenomena, quantum theory, mathematical physics, statistical and classical mechanics, chemical kinetics, and laser physics."
40.0509,Environmental Chemistry.,"A course that focuses on the scientific study of natural systems (air, water, and soil) through the use of chemical techniques and instrumentation, with an emphasis on the movement and fate of pollutants and chemical aspects of contaminant remediation. Includes instruction in analytical, inorganic, organic, and physical chemistry; aquatic, soil, and atmospheric chemistry; environmental engineering; environmental toxicology; and analytical methods."
40.0510,Forensic Chemistry.,"A course that focuses on the application of chemical techniques and instrumentation to the analysis and evaluation of physical evidence to aid in criminal investigations. Includes instruction in analytical, inorganic, organic, and physical chemistry; biochemistry; forensic toxicology; instrumental analysis; crime scene processing; criminal investigation; forensic laboratory technology; and applicable law."
40.0511,Theoretical Chemistry.,"A course that focuses on the study of mathematical and computational methods and fundamental laws of physics to describe chemical phenomena and to develop empirical models of molecules and their interactions. Includes instruction in properties of small, isolated molecules; dynamics of elementary chemical processes; reaction pathways of organic molecules; hydrogen bonding patterns in liquids; reaction rates of biological pathways; and advanced computational techniques."
40.0598,Research in chemistry and/or independent study in chemistry.,Any chemistry course that deals with topics of research in chemistry and/or independent study in chemistry.
40.0599,"Chemistry, Other.",Any course in chemistry not listed above. Also preparatory chemistry and/or consumer chemistry.
40.0601,"Geology/Earth Science, General.","A course that focuses on the scientific study of the earth; the forces acting upon it; and the behavior of the solids, liquids and gases comprising it. Includes instruction in historical geology, geomorphology, and sedimentology, the chemistry of rocks and soils, stratigraphy, mineralogy, petrology, geostatistics, volcanology, glaciology, geophysical principles, and applications to research and industrial problems. Also earth materials, earth processes and/or earth science-evolution."
40.0602,Geochemistry.,"A course that focuses on the scientific study of the chemical properties and behavior of the silicates and other substances forming, and formed by geomorphological processes of the earth and other planets. Includes instruction in chemical thermodynamics, equilibrium in silicate systems, atomic bonding, isotopic fractionation, geochemical modeling, specimen analysis, and studies of specific organic and inorganic substances."
40.0603,Geophysics and Seismology.,"A course that focuses on the scientific study of the physics of solids and its application to the study of the earth and other planets. Includes instruction in gravimetric, seismology, earthquake forecasting, magnetrometry, electrical properties of solid bodies, plate tectonics, active deformation, thermodynamics, remote sensing, geodesy, and laboratory simulations of geological processes."
40.0604,Paleontology.,"A course that focuses on the scientific study of extinct life forms and associated fossil remains, and the reconstruction and analysis of ancient life forms, ecosystems, and geologic processes. Includes instruction in sedimentation and fossilization processes, fossil chemistry, evolutionary biology, paleoecology, paleoclimatology, trace fossils, micropaleontology, invertebrate paleontology, vertebrate paleontology, paleobotany, field research methods, and laboratory research and conservation methods."
40.0605,Hydrology and Water Resources Science.,"A course that focuses on the scientific of study of the occurrence, circulation, distribution, chemical and physical properties, and environmental interaction of surface and subsurface waters, including groundwater. Includes instruction in geophysics, thermodynamics, fluid mechanics, chemical physics, geomorphology, mathematical modeling, hydrologic analysis, continental water processes, global water balance, and environmental science. Examples include hydrogeology."
40.0606,Geochemistry and Petrology.,"A course that focuses on the scientific study of the igneous, metamorphic, and hydrothermal processes within the earth and the mineral, fluid, rock, and ore deposits resulting from them. Includes instruction in mineralogy, crystallography, petrology, volcanology, economic geology, meteoritics, geochemical reactions, deposition, compound transformation, core studies, theoretical geochemistry, computer applications, and laboratory studies."
40.0607,"Oceanography, Chemical and Physical.","A course that focuses on the scientific study of the chemical components, mechanisms, structure, and movement of ocean waters and their interaction with terrestrial and atmospheric phenomena. Includes instruction in material inputs and outputs, chemical and biochemical transformations in marine systems, equilibria studies, inorganic and organic ocean chemistry, oceanographic processes, sediment transport, zone processes, circulation, mixing, tidal movements, wave properties, and seawater properties."
40.0697,Field studies in geology.,Any geological and earth sciences/geosciences course that deals with topics of field studies in geology.
40.0698,Environmental geology.,Any geological and earth sciences/geosciences course that deals with topics of environmental geology.
40.0699,"Geological and Earth Sciences/Geosciences, Other.",Any course in geological and related sciences not listed above. Examples include geodetics; geodesy.
40.0801,"Physics, General.","A general course that focuses on the scientific study of matter and energy, and the formulation and testing of the laws governing the behavior of the matter-energy continuum. Includes instruction in classical and modern physics, electricity and magnetism, thermodynamics, mechanics, wave properties, nuclear processes, relativity and quantum theory, quantitative methods, and laboratory methods. Also thermal science, advances thermodynamics, kinetic theory, modern physics, classical mechanics, analytic mechanics, liberal arts physics, physics for poets and/or physics for non-science majors."
40.0802,Atomic/Molecular Physics.,"A course that focuses on the scientific study of the behavior of matter-energy phenomena at the level of atoms and molecules. Includes instruction in chemical physics, atomic forces and structure, molecular orbital theory, magnetic resonance, molecular bonding, phase equilibria, quantum theory of solids, and applications to the study of specific elements and higher compounds."
40.0804,Elementary Particle Physics.,"A course that focuses on the scientific study of the basic constituents of sub-atomic matter and energy, and the forces governing fundamental processes. Includes instruction in quantum theory, field theory, single-particle systems, perturbation and scattering theory, matter-radiation interaction, symmetry, quarks, capture, Schroedinger mechanics, methods for detecting particle emission and absorption, and research equipment operation and maintenance."
40.0805,Plasma and High-Temperature Physics.,"A course that focuses on the scientific study of properties and behavior of matter at high temperatures, such that molecular and atomic structures are in a disassociated ionic or electronic state. Includes instruction in magnetohydrodynamics, free electron phenomena, fusion theory, electromagnetic fields and dynamics, plasma and non-linear wave theory, instability theory, plasma shock phenomena, quantitative modeling, and research equipment operation and maintenance."
40.0806,Nuclear Physics.,"A course that focuses on the scientific study of the properties and behavior of atomic nuclei. Includes instruction in nuclear reaction theory, quantum mechanics, energy conservation, nuclear fission and fusion, strong and weak forces, nuclear modeling, nuclear decay, nucleon scattering, pairing, photon and electron reactions, the physics of nuclear effects, statistical methods, and research equipment operation and maintenance. Also radiation physics and/or reactor physics. Examples include nuclear effects."
40.0807,Optics/Optical Sciences.,"A course that focuses on the scientific study of light energy, including its structure, properties and behavior under different conditions. Includes instruction in wave theory, wave mechanics, electromagnetic theory, physical optics, geometric optics, quantum theory of light, photon detecting, laser theory, wall and beam properties, chaotic light, non-linear optics, harmonic generation, optical systems theory, and applications to engineering problems. Examples include electro-optics; atmospheric and space optics."
40.0808,Condensed Matter and Materials Physics.,"A course that focuses on the scientific study of macroscopic physical phenomena and properties that arise from basic microscopic interactions. Includes instruction in low-temperature and solid-state physics, x-ray physics, liquids and soft materials, including the study of semiconductors, metals, superliquids, magnets, superconductors, glasses, gels, polymers, colloids, neural networks and macromolecules."
40.0809,Acoustics.,"A course that focuses on the scientific study of sound, and the properties and behavior of acoustic wave phenomena under different conditions. Includes instruction in wave theory, the acoustic wave equation, energy transformation, vibration phenomena, sound reflection and transmission, scattering and surface wave phenomena, singularity expansion theory, ducting, and applications to specific research problems such as underwater acoustics, crystallography, and health diagnostics. Also physics of music."
40.0810,Theoretical and Mathematical Physics.,"A course that focuses on the scientific and mathematical formulation and evaluation of the physical laws governing, and models describing, matter-energy phenomena, and the analysis of related experimental designs and results. Includes instruction in classical and quantum theory, relativity theory, field theory, mathematics of infinite series, vector and coordinate analysis, wave and particle theory, advanced applied calculus and geometry, analyses of continuum, cosmology, and statistical theory and analysis."
40.0899,"Physics, Other.",Any course in physics not listed above. Examples include electrodynamics
40.1001,Materials Science.,"Any course in physics not listed above. Examples include electrodynamics. A course that focuses on the general application of mathematical and scientific principles to the analysis and evaluation of the characteristics and behavior of solids, including internal structure, chemical properties, transport and energy flow properties, thermodynamics of solids, stress and failure factors, chemical transformation states and processes, compound materials, and research on industrial applications of specific materials."
40.1002,Materials Chemistry.,"A course that focuses on the synthesis and study of organic or inorganic materials and their electronic, magnetic, optical or mechanical properties. Includes instruction in advanced materials for photonics, lasers, chemical sensors and arrays or nanochemistry; semiconductor nanowires; and molecular electronics."
40.1099,"Materials Sciences, Other.",Any course in materials sciences not listed above.
40.9998,Metallurgy.,Any physical science course that deals with topics of metallurgy.
40.9999,"Physical Sciences, Other.",Any course in physical sciences not listed above.
41.0000,"Science Technologies/Technicians, General.","A general course that prepares individuals to apply scientific principles and technical skills in support of scientific research and development. Includes instruction in standard laboratory practices and procedures; techniques for analysis, testing and inspection; laboratory instrumentation and equipment operation and maintenance; laboratory and materials handling safety; and computer applications. Examples include science laboratory technology."
41.0101,Biology Technician/Biotechnology Laboratory Technician.,"A course that prepares individuals to apply scientific principles and technical skills in support of biologists and biotechnologists in research, industrial, and government settings. Includes instruction in fermentation technology, cell culturing, protein purification, biologic synthesis, assaying and testing, quality control, industrial microbiology, bioprocessing, chromatography and bioseparation, genetic technology, laboratory and hazardous materials safety, and computer applications."
41.0204,Industrial Radiologic Technology/Technician.,"A course that prepares individuals to apply scientific principles and technical skills to the operation of industrial and research testing equipment using radioisotopes. Includes instruction in x-ray analysis of materials, nondestructive testing and inspection of materials, and continuous measurement of paper or metal thickness."
41.0205,Nuclear/Nuclear Power Technology/Technician.,"A course that prepares individuals to apply scientific principles and technical skills in support of research scientists and operating engineers engaged in the running of nuclear reactors, and in nuclear materials processing and disposal. Includes instruction in basic nuclear physics and nuclear engineering, monitoring and safety procedures, radioactive materials handling and disposal, equipment maintenance and operation, and record keeping."
41.0299,"Nuclear and Industrial Radiologic Technologies/Technicians, Other.",Any course in nuclear and industrial radiologic technologies not listed above.
41.0301,Chemical Technology/Technician.,"A course that prepares individuals to apply scientific principles and technical skills in support of chemical and biochemical research and industrial operations. Includes instruction in principles of chemistry and biochemistry, technical mathematics, computer applications, radiochemistry, industrial biochemistry, chemical instrumentation, physical chemistry, laboratory research methods, industrial processing methods and equipment, and test equipment operation and maintenance."
41.0303,Chemical Process Technology.,"A course that prepares individuals to apply scientific principles and technical skills to the operation of chemical processing equipment in industries such as chemical manufacturing, petroleum refining, pharmaceutical manufacturing, and waste water treatment. Includes instruction in mathematics, chemistry, and physics; computer applications; chemical and refinery plant operations, processes, and equipment; safety, health, and environment; instrumentation; troubleshooting; and applications to specific industries. Examples include process technology."
41.0399,"Physical Science Technologies/Technicians, Other.",Any course in physical science technologies not listed above.
41.9998,"Sanitary chemistry, process metals lab, and/or biomaterials Technologies/Technicians.","Any science technologies/technicians course that deals with topics of sanitary chemistry, process metals lab, and/or biomaterials."
41.9999,"Science Technologies/Technicians, Other.",Any course in science technologies not listed above.
42.0101,"Psychology, General.","A general course that focuses on the scientific study of individual and collective behavior, the physical and environmental bases of behavior, and the analysis and treatment of behavior problems and disorders. Includes instruction in the principles of the various subfields of psychology, research methods, and psychological assessment and testing methods. Also psychology principles."
42.2701,Cognitive Psychology and Psycholinguistics.,"A course that focuses on the scientific study of the mechanisms and processes of learning and thinking, and associated information encoding, decoding, processing and transmitting systems. Includes instruction in theories of cognition and intelligence; studies of cognitive processes such as memory, sensation, perception, pattern recognition, problem solving, and conceptual thinking; cybernetics; psycholinguistics; and the study of biological and social communications mechanisms and processes. Also perception, sensation, psychology and language, language development, language acquisition, cognitive development of the child and/or sensation, biofeedback, brain and behavior and/or neuropsychology."
42.2702,Comparative Psychology.,"A course that focuses on the behavior of members of particular species or groups and the relationship of the behaviors of the species or group to their evolutionary origins. Includes instruction in differential psychology, experimental and physiological psychology, psychopharmacology, psychology of individual differences, reinforcement theory, and neurophysiology."
42.2703,Developmental and Child Psychology.,"A course that focuses on the scientific study of the psychological growth and development of individuals from infancy through adulthood. Includes instruction in cognitive and perceptual development, emotional development, personality development, the effects of biological maturation on behavior, theories of cognitive growth and related research methods, testing and assessment methods for different age levels, research on child and adolescent behavior therapy, and the psychology of aging. Note (Family and Human Development Studies/Individual and Family Development Studies, General, have been integrated into Developmental and Child Psychology because the definitions are virtually the same for the two programs."
42.2704,Experimental Psychology.,"A course that focuses on the scientific study of behavior under experimental conditions and the analysis of controlled behavioral responses. Includes instruction in learning theory, research design and experimental methods, psychological measurement, statistical design and methods, analysis of cognitive and behavioral variables, and the conduct of specialized and large-scale studies."
42.2705,Personality Psychology.,"A course that focuses on the unique organization of fairly permanent characteristics that set the individual apart from other individuals and, at the same time, determine how others respond to that individual. Includes instruction in Freudian, Skinnerian, Rogerian, and Ellisonian psychology; neo-Freudian psychology; psychological systems, neurophysiology, and psychopharmacology. Also abnormal psychology, psychology of deviance, disorganized personality, behavioral pathology and/or mental retardation."
42.2706,Physiological Psychology/Psychobiology.,"A course that focuses on the scientific course study of the biological bases of psychological functioning, and their application to experimental and therapeutic research problems. Includes instruction in functional neuroanatomy, neural system development, biochemical neural regulatory mechanisms, neurological biophysics, memory storage and retrieval, physiology of cognition and perception, physiological bases of psychopathology and behavioral disorders, psychopharmacology, comparative psychobiology, and specialized experimental design and research methods."
42.2707,Social Psychology.,"A course that focuses on the scientific study of individual behavior in group contexts, group behavior, and associated phenomena. Includes instruction in social learning theory, group theory and dynamics, sex roles, social cognition and inference, attribution theory, attitude formation, criminal behavior and other social pathologies, altruistic behavior, social development, and social ecology."
42.2708,Psychometrics and Quantitative Psychology.,A course that focuses on the mathematical and statistical procedures used in psychological test construction and validation; the general problems of the measurement of behavior; and the application of quantitative methods to research design and other methodological topics.
42.2709,Psychopharmacology.,"A course that focuses on the study of the behavioral effects of medications, drugs, nutrients, and chemicals (including natural and artificial toxins) in laboratory and clinical settings. Includes instruction in pharmacology, behavioral toxicology and pharmacology, neuroscience, physiology, clinical psychopharmacology, substance abuse treatments and antidotes, neurochemical mechanisms, epidemiology of chemicals and substances, biochemical interactions, and psychoactive drugs. Also drugs and behavior."
42.2799,"Research and Experimental Psychology, Other.",Any course in research and experimental psychology not listed above.
42.2801,Clinical Psychology.,"A course that prepares individuals for the independent professional practice of clinical psychology, involving the analysis, diagnosis, and clinical treatment of psychological disorders and behavioral pathologies. Includes instruction in clinical assessment and diagnosis, personality appraisal, psychopathology, clinical psychopharmacology, behavior modification, therapeutic intervention skills, patient interviewing, personalized and group therapy, child and adolescent therapy, cognitive and behavioral therapy, supervised clinical practice, ethical standards, and applicable regulations. Also behavior control, clinical therapy and/or behavioral intervention."
42.2802,Community Psychology.,"A course that prepares individuals to apply psychological principles to the analysis of social problems, and the implementation of intervention strategies for addressing these problems. Includes instruction in social ecology, primary and secondary prevention of social pathologies, social intervention strategies and tactics, large group counseling, social services systems behavior, creating settings, cultural stress, and the dynamics of social change."
42.2803,Counseling Psychology.,"A course that prepares individuals for the independent professional practice of psychological counseling, involving the rendering of therapeutic services to individuals and groups experiencing psychological problems and exhibiting distress symptoms. Includes instruction in counseling theory, therapeutic intervention strategies, patient/counselor relationships, testing and assessment methods and procedures, group therapy, marital and family therapy, child and adolescent therapy, supervised counseling practice, ethical standards, and applicable regulations."
42.2804,Industrial and Organizational Psychology.,"A course that focuses on the scientific study of individual and group behavior in institutional settings, applications to related problems of organization and industry, and that may prepare individuals to apply such principles in industrial and organizational settings. Includes instruction in group behavior theory, organizational theory, reward/punishment structures, human-machine and human-computer interactions, motivation dynamics, human stress studies, environmental and organizational influences on behavior, alienation and satisfaction, and job testing and assessment."
42.2805,School Psychology.,"A course that prepares individuals to apply clinical and counseling psychology principles to the diagnosis and treatment of student behavioral problems. Includes instruction in child and/or adolescent development; learning theory; testing, observation and other procedures for assessing educational, personality, intelligence and motor skill development; therapeutic intervention strategies for students and families; identification and classification of disabilities and disorders affecting learning; school psychological services planning; supervised counseling practice; ethical standards; and applicable regulations."
42.2806,Educational Psychology.,"A course that focuses on the application of psychology to the study of the behavior of individuals in the roles of teacher and learner, the nature and effects of learning environments, and the psychological effects of methods, resources, organization and non-school experience on the educational process. Includes instruction in learning theory, human growth and development, research methods, and psychological evaluation. Also psychology of learning, theories of learning, learning and motivation, learning and memory, learning and cognition and/or conditioning and learning."
42.2807,Clinical Child Psychology.,"A course that focuses on the developmental processes of children and associated disorders and that prepares individuals for the independent professional practice of clinical child psychology. Includes instruction in developmental neuropsychology, child psychopathology, testing of children and adolescents, pediatric psychology, psychosocial variables in child development, clinical skills, family therapy, behavioral assessment and intervention, clinical skills, consultation, professional standards and ethics, and applications to topics such as infancy, childhood, and adolescence."
42.2808,Environmental Psychology.,"A course that focuses on the study of behavioral interactions between human beings and the environment in individual and group contexts, and ways to improve them. Includes instruction in contextual theory; statistics; physiological, social, and psychological responses to natural and technological hazards and disease; environmental perception and cognition; loneliness and stress; and psychological aspects of environmental design and planning."
42.2809,Geropsychology.,"A course that focuses on the psychology of aging and of elderly individuals and populations, with reference to growth and decline across the life span. Includes instruction in gerontology, developmental and adult psychology, age-related development and decline of cognitive processes, age-related psychological and neurological disorders, social and personality development in aging populations and individuals, and applications to the clinical treatment and care of older adults. Also lifespan psychology."
42.2810,Health/Medical Psychology.,"A course that focuses on the psychological study of health and illness, and recovery, from the perspective that these phenomena arise from a combination of physical, behavioral, and social conditions. Includes instruction in abnormal and social psychology, psychophysiology, psychopharmacology, learning processes, clinical and behavioral therapies, biopsychosocial modeling, clinical procedures and assessment, preventive education, psychotherapy, rehabilitation processes, and research methods."
42.2811,Family Psychology.,"A course that prepares individuals to provide therapeutic, evaluative, and research services to families and individuals in the family unit context. Includes instruction in natural and family systems theory, family and group rituals, family evaluation and assessment, marital and couples therapy, sex therapy, parenting, interviewing techniques, genogram construction, family sculpting, diversity issues, family violence, family law, and professional standards and ethics."
42.2812,Forensic Psychology.,"A course that prepares individuals to apply clinical, counseling, school, and neuropsychology skills to the provision of psychological services within the criminal justice and civil legal systems, including consultation, assessment, and interventions. Includes instruction in the epidemiology of mental/behavioral disorders, risk factors for violence and criminality, profiling and patterning, psychological testing, prediction and intervention measurement, forensic assessment, criminal and civil law and procedures, secure environments, forensic treatment and intervention skills, and professional standards and ethics. Also psychology of crime."
42.2813,Applied Psychology.,"A course that focuses on the application of psychological theories and methods to real- world settings and problems, such as business and industry, government, education, military, and community settings. Includes instruction in applications of psychology, industrial/organizational psychology, developmental psychology, social psychology, cognitive psychology, counseling, human factors, research methods and statistics, and program evaluation."
42.2814,Applied Behavior Analysis.,"A course that focuses on the application of principles of learning and behavior to enhance the development, abilities, and choices of children and adults; and that prepares individuals to address the behavioral needs of individuals, especially those with developmental disabilities and autism. Includes instruction in behavior analysis and learning, behavioral and functional assessment, developmental psychology, applied behavioral analysis in developmental disabilities and autism, applied behavioral analysis in mental health and aging, research methods, evaluation of interventions, and professional and ethical issues."
42.2899,"Clinical, Counseling and Applied Psychology, Other.","Any course in clinical, counseling and applied psychology not listed above."
42.9992,"Graduate research in psychology, graduate theses in psychology and/or undergraduate research in psychology.","Any graduate research in psychology, graduate theses in psychology and/or undergraduate research in psychology."
42.9993,"Psychology seminars, readings, colloquia and/or psychology field work and/or internship.","Any psychology seminars, readings, colloquia and/or psychology field work and/or internship."
42.9994,History of psychology and/or philosophy of psychology.,Any other psychology course that deals with the topics of history of psychology and/or philosophy of psychology.
42.9995,Psychology of race and/or multi/cross-cultural psychology.,Any other psychology course that deals with the topics of psychology of race and/or multi/cross-cultural psychology.
42.9996,Psychology of sports and/or psychology of health.,Any other psychology course that deals with the topics of psychology of sports and/or psychology of health.
42.9997,Psychology of exceptionality and/or psychology of the exceptional child.,Any other psychology course that deals with the topics of psychology of exceptionality and/or psychology of the exceptional child.
42.9998,Psychology of human sexuality and/or human sexual behavior.,Any other psychology course that deals with the topics of human sexuality and/or human sexual behavior.
42.9999,"Psychology, Other.",Any course in psychology not listed above. Examples include neuropsychology.
43.0000,"Security and Protective Services, General.",Any course dealing with general topics of security and protective services.
43.0102,Corrections.,"A course that prepares individuals to study the theories and principles, of correctional science and to function as professional corrections officers and other workers in public and/or private incarceration facilities."
43.0103,Criminal Justice/Law Enforcement Administration.,"A course that prepares individuals to apply theories and practices of organization management and criminal justice to the administration of public law enforcement agencies and operations. Includes instruction in law enforcement history and theory, operational command leadership, administration of public police organizations, labor relations, incident response strategies, legal and regulatory responsibilities, budgeting, public relations, and organizational leadership."
43.0104,Criminal Justice/Safety Studies.,"A course that focuses on the criminal justice system, its organizational components and processes, and its legal and public policy contexts. Includes instruction in criminal law and policy, police and correctional systems organization, the administration of justice and the judiciary, and public attitudes regarding criminal justice issues. Also corrections systems, criminal law and procedure for police, law of evidence, legal aspects of criminal justice and/or criminal codes."
43.0106,Forensic Science and Technology.,"A course that focuses on the application of the physical, biomedical, and social sciences to the analysis and evaluation of physical evidence, human testimony and criminal suspects. Includes instruction in forensic medicine, forensic dentistry, anthropology, psychology, entomology, pathology, forensic laboratory technology and autopsy procedures, DNA and blood pattern analysis, crime scene analysis, crime scene photography, fingerprint technology, document analysis, witness and suspect examination procedures, applicable law and regulations, and professional standards and ethics. Also forensic biology."
43.0107,Criminal Justice/Police Science.,"A course that prepares individuals to perform the duties of police and public security officers, including patrol and investigative activities, traffic control, crowd control and public relations, witness interviewing, evidence collection and management, basic crime prevention methods, weapon and equipment operation and maintenance, report preparation and other routine law enforcement responsibilities. Also general police training, police academy, crime prevention and control, defensive tactics, baton training and/or police report writing."
43.0109,Security and Loss Prevention Services.,"A course that prepares individuals to perform routine inspection, patrol and crime prevention services for private clients. Includes instruction in the provision of personal protection as well as property security."
43.0110,Juvenile Corrections.,"A course that prepares individuals to specialize in the provision of correction services to underage minor populations. Includes instruction in corrections, juvenile delinquency, juvenile development and psychology, juvenile law, and justice administration, social services, record-keeping procedures, and communication skills. Also youthful offender and/or youth crime."
43.0111,Criminalistics and Criminal Science.,"A course that focuses on the application of clinical and criminal laboratory science, investigative techniques, and criminology to the reconstruction of crimes and the analysis of physical evidence. Includes instruction in laboratory science, laboratory procedures, criminology and police science, evidentiary testing and analysis, computer applications, record-keeping, reconstruction techniques, evidence handling and storage, and applications to specific types of evidence and crimes. Also criminal identification and/or crime lab."
43.0112,Securities Services Administration/Management.,"A course that prepares individuals to plan, manage, and supervise services providing private security protection for people and property and related investigative and consulting functions. Includes instruction in security and loss prevention services, private security and investigation techniques, security technologies, personnel management, business operations, marketing, applicable law and regulations, and client relations. Examples include business and organizational security management."
43.0113,Corrections Administration.,"A course that prepares individuals to plan and manage institutional facilities and programs for housing and rehabilitating prisoners in the public and/or private sectors. Includes instruction in the principles and practice of correction, facilities planning and management, safety and security, social and health services, staff and inmate management, budgeting, communication skills, correctional psychology, and applications to specific types of correctional facilities approaches."
43.0114,Law Enforcement Investigation and Interviewing.,"A course focusing on the principles, procedures, techniques, legal concerns, and problems associated with a criminal investigation. Includes instruction in administrative law and procedures, courtroom evidence management and preparation, case presentation and court testimony, description and identification, state and federal criminal law and procedures, informant and suspect rights, officer liability, informant and witness management, victim awareness, tactical interviewing, psychology, criminal investigation methods and procedures, report writing and documentation, investigative techniques, and case management."
43.0115,Law Enforcement Record-Keeping and Evidence Management.,"A course focusing on the principles and procedures for managing records in police or other security offices, including storing and retrieving evidence and related data. Includes instruction in administrative law and procedures, office management, report preparation, organizational software, database software, physical and digital evidence properties, controlled storage and retrieval, investigative file inventories, case management, security systems, and communications skills."
43.0116,Cyber/Computer Forensics and Counterterrorism.,"A course focusing on the principles and techniques used to identify, search, seize and analyze digital media and to conduct cyber investigations against criminal and terrorist activity. Includes instruction in computer boot processes and drives, jumper setting, file access and reconstruction, hacking, network systems, cryptography, programming, investigative techniques, forensic imagery, web-based investigation methods, cyber terrorism, and applicable laws and administrative procedures. Examples include internet investigation."
43.0117,Financial Forensics and Fraud Investigation.,"A course focusing on the principles and techniques of conducting investigations into financial crime, terrorist activity, and the analysis and use of accounting data as evidence. Includes instruction in the principles of accounting, investigative auditing, computer investigations, accounting system documents and software, business corruption, criminal and terrorist financial networks, international money markets and movement, net worth analysis, financial fraud, exposing concealed assets, records seizure, fraud and money laundering statutes, fraud case initiation, case management, and case presentation. Examples include fraud and money-laundering; international banking and money-laundering; terrorist finance; asset forfeiture; economic crime investigation."
43.0118,Law Enforcement Intelligence Analysis.,"A course focusing on the preparation of law enforcement personnel to perform intelligence and surveillance operations and to analyze and use data collected via such operations. Includes instruction in the intelligence cycle, information sources, data retrieval, digital investigation, financial investigations, document analysis, external sources, geographic information systems, link analysis, operation planning and security, case management, applicable law and regulations, and case preparation. Examples include electronic surveillance."
43.0119,Critical Incident Response/Special Police Operations.,"A course focusing on the principles and techniques for dealing with police emergencies such as hostage situations, bomb threats, barricades and terrorist incidents. Includes instruction in crisis management, command procedures, incident containment, information collection and debriefing, first responder negotiation, victim and criminal psychology, site survey and surveillance, special weapons and tactics, interagency communications and joint operations, pre-confrontation and contingency planning, assault and rescue operations, security and crowd control, media relations, and post-operation procedures."
43.0120,Protective Services Operations.,"A course focusing on the principles and techniques of providing physical security protection to clients in various environments and situations. Includes instruction in security intelligence and information resources, operations planning and surveying, operations security, weapons and explosives, defense and offense techniques, security and surveillance systems, communications systems, perimeter and access control, weapons of mass destruction, contingency planning, crowd control, cover and evacuation, combat and vehicle techniques, and applicable legal and administrative responsibilities. Examples include land transportation security; physical security; protective operations; vehicle/driver operations; aircraft/boat operations."
43.0121,Suspension and Debarment Investigation.,"A course focusing on the principles and techniques for investigating criminal behavior among government contractors and grantees at different levels. Includes instruction in financial fraud and money-laundering, auditing, computer investigations, legal concepts and applications, procurement law, non-procurement debarment, jurisdiction and lead agency, analytical methods, suspension, parallel proceedings, evidence protection, equitable considerations, investigative techniques, administrative and global solutions, case management and preparation."
43.0122,Maritime Law Enforcement.,"A course focusing on the application of law enforcement and security principles and procedures to the marine environment. Includes instruction in criminal and nautical law, nautical terminology, seamanship and vessel operation, vessel maintenance, navigation and navigation systems, meteorology, vessel and passenger safety, radar and remote sensing systems, communications systems, vessel pursuit and stop, boarding and arrest techniques, investigative and evidence techniques, weaponry and applications to specific situations such as piracy, drug trafficking and smuggling."
43.0123,Cultural/Archaeological Resources Protection.,"A course focusing on the application of law enforcement principles and techniques to the protection of cultural resources and the investigation of related crimes. Includes instruction in cultural resources law, archaeological standards of value, site damage assessment, evidence collection, surveillance techniques, investigative techniques, case management and preparation."
43.0191,"Criminal justice/corrections research methods, research in criminal justice internships in criminal justice and/or field experience in criminal justice.","Any criminal justice and corrections course that deals with the topics of research methods, research in criminal justice internships in criminal justice and/or field experience in criminal justice."
43.0192,Criminal justice/corrections: of crime and race.,Any criminal justice and corrections course that deals with the topic of crime and race.
43.0193,Criminal justice/corrections: narcotics and/or drug enforcement.,Any criminal justice and corrections course that deals with the topics of narcotics and/or drug enforcement.
43.0194,Criminal justice and corrections: search and seizure.,Any criminal justice and corrections course that deals with the topic of search and seizure.
43.0195,"Criminal justice/corrections and traffic law, traffic management, vehicle codes, traffic operations, traffic accidents and/or traffic investigations.","Any criminal justice and corrections course that deals with the topics of traffic law, traffic management, vehicle codes, traffic operations, traffic accidents and/or traffic investigations."
43.0196,"Criminal justice/corrections and administration of justice, courts and/or court administration.","Any criminal justice and corrections course that deals with the topics of administration of justice, courts and/or court administration."
43.0197,"Police relations, corrections law, and/or community relations.","Any criminal justice and corrections course that deals with the topics of police relations, corrections law, and/or community relations."
